

2016年09月14日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
"1444  ","力麗            ","729150","299","6059866","8.36","8.4","8.23","8.4","+","0.04","8.32","20","8.4","33","31.11"
"1445  ","大宇            ","68004","29","623716","9.18","9.2","9.15","9.2","-","0.1","9.16","2","9.2","5","14.38"
"1446  ","宏和            ","3000","2","53800","17.9","18","17.9","18","+","0.1","17.9","12","18","1","0.00"
"1447  ","力鵬            ","861648","314","6464968","7.56","7.58","7.38","7.58","+","0.02","7.47","6","7.58","10","0.00"
"1449  ","佳和            ","22129","12","87599","3.95","3.98","3.95","3.98","+","0.01","3.95","2","3.98","3","0.00"
"1451  ","年興            ","303609","217","7089393","23.2","23.95","23.1","23.95","+","0.75","23.35","6","24","5","9.36"
"1452  ","宏益            ","2256093","1039","45355471","20.5","20.6","19.85","20.15","-","0.45","20.15","23","20.2","7","13"
"1453  ","大將            ","9000","8","72440","8.19","8.19","7.97","8.07","+","0.04","8","5","8.08","1","0.00"
"1454  ","台富            ","11000","8","93870","8.59","8.59","8.51","8.53","+","0.02","8.5","5","8.53","2","14.71"
"1455  ","集盛            ","1037650","198","8553822","8.25","8.3","8.19","8.22","-","0.12","8.21","1","8.22","29","0.00"
"1456  ","怡華            ","0","0","0","--","--","--","--"," ","0","8.85","3","9.12","2","6.45"
"1457  ","宜進            ","506323","195","4997977","9.82","9.94","9.82","9.89","-","0.03","9.86","5","9.89","1","24.12"
"1459  ","聯發            ","33707","21","274470","8.12","8.21","8.12","8.12","-","0.04","8.12","15","8.15","14","0.00"
"1460  ","宏遠            ","220388","122","3379714","15.35","15.45","15.25","15.35"," ","0","15.35","2","15.4","44","14.08"
"1463  ","強盛            ","206000","69","3580050","17.5","17.5","17.35","17.4"," ","0","17.35","9","17.4","35","23.51"
"1464  ","得力            ","814054","500","22325938","27.4","27.7","27.3","27.4"," ","0","27.4","101","27.45","2","20.92"
"1465  ","偉全            ","8000","8","104200","13.1","13.1","13","13"," ","0","13","2","13.05","29","13.83"
"1466  ","聚隆            ","81000","28","1080100","13.25","13.4","13.25","13.4","+","0.15","13.4","4","13.45","2","0.00"
"1467  ","南緯            ","142002","101","1829524","12.95","13","12.8","12.9","-","0.1","12.8","54","12.95","34","258"
"1468  ","昶和            ","44000","13","434480","9.98","9.98","9.74","9.95"," ","0","9.95","2","10.15","1","0.00"
"1469  ","理隆            ","13000","9","169000","13.05","13.25","12.9","13.25"," ","0","13.25","2","13.3","2","0.00"
"1470  ","大統染          ","23067","7","427999","18.6","18.6","18.5","18.5","+","0.1","18.4","1","19.1","1","25"
"1471  ","首利            ","85547","66","447385","5.27","5.28","5.15","5.28","+","0.03","5.27","2","5.28","1","0.00"
"1472  ","三洋紡          ","135000","51","1800400","13.6","13.6","13.1","13.15","-","0.15","13.15","2","13.2","1","31.31"
"1473  ","台南            ","159801","120","4626987","28.6","29.1","28.6","29.1","+","0.1","29","4","29.1","4","17.22"
"1474  ","弘裕            ","176338","65","1812597","10.3","10.35","10.25","10.3"," ","0","10.3","13","10.35","49","12.26"
"1475  ","本盟            ","42009","36","437444","10.25","10.85","10.1","10.5"," ","0","10.3","2","10.5","16","5.56"
"1476  ","儒鴻            ","1262720","1065","444045880","343","354","343","354","+","7.5","353.5","1","354","40","24.18"
"1477  ","聚陽            ","1471142","880","214664732","145","147.5","143.5","146","-","2","146","212","147","12","14.43"
"1503  ","士電            ","381101","299","14867466","39.1","39.6","38.3","38.3","-","0.7","38.25","1","38.3","300","15.38"
"1504  ","東元            ","5505312","1920","146452535","26.5","27","26.4","26.55","+","0.1","26.55","17","26.6","224","16.19"
"1506  ","正道            ","348004","97","4900756","14.2","14.3","13.9","14.15","-","0.05","14.1","11","14.15","7","48.79"
"1507  ","永大            ","391555","261","17810177","45","45.85","45","45.85","+","0.5","45.6","6","45.85","98","10.66"
"1512  ","瑞利            ","398225","123","2094231","5.26","5.33","5.22","5.22","-","0.08","5.22","13","5.28","3","0.00"
"1513  ","中興電          ","412780","160","7204596","17.5","17.5","17.35","17.5","+","0.15","17.35","34","17.5","24","11.82"
"1514  ","亞力            ","900414","314","9306892","10.2","10.45","10.2","10.3"," ","0","10.3","44","10.35","64","12.12"
"1515  ","力山            ","1974236","616","30390159","15.2","15.7","15.1","15.35","+","0.1","15.3","5","15.35","27","19.43"
"1516  ","川飛            ","20000","16","447050","22","22.5","22","22.4","+","0.55","22.4","3","22.45","1","70"
"1517  ","利奇            ","229000","60","2368049","10.35","10.4","10.3","10.4","+","0.05","10.35","2","10.4","30","23.11"
"1519  ","華城            ","3329250","1543","61123750","17.85","18.75","17.8","18.1","+","0.35","18.1","15","18.2","24","19.05"
"1521  ","大億            ","177000","140","14271800","81.1","81.5","80","81","-","0.3","80.6","1","81","27","13.52"
"1522  ","堤維西          ","1634970","944","60676264","36.6","37.8","36.55","37.7","+","0.7","37.6","11","37.7","2","11.56"
